IP Address,MAC Address,Manufacturer,Hostname,Nickname,First Seen,Last Seen,Trusted
192.168.7.253,Unknown,"Unknown",MINISFORUM,,2026-05-18,2026-05-19,No
192.168.7.247,48-AD-9A-4B-D7-E1,"Intel Corporate",MiniPC,,2026-05-18,2026-05-19,No
192.168.7.223,A8-6E-84-39-AF-27,"TP-Link Systems Inc",Unknown,,2026-05-18,2026-05-19,No
192.168.7.239,30-13-8B-CF-04-1A,"HP Inc.",HPCF041A,,2026-05-18,2026-05-19,No
192.168.7.64,38-F9-F5-81-3D-59,"Garmin International",Unknown,,2026-05-18,2026-05-19,No
192.168.7.24,B8-4D-43-5E-E4-CF,"HUNAN FN-LINK TECHNOLOGY LIMITED",Unknown,,2026-05-19,2026-05-19,No
192.168.7.250,50-3D-D1-2C-33-45,"TP-Link Systems Inc.",Unknown,,2026-05-18,2026-05-19,No
192.168.7.240,50-3D-D1-2C-40-4A,"TP-Link Systems Inc.",Unknown,,2026-05-19,2026-05-19,No
192.168.7.229,50-3D-D1-2C-35-6E,"TP-Link Systems Inc.",Unknown,,2026-05-19,2026-05-19,No
192.168.7.254,98-17-3C-7F-F8-11,"Private",Unknown,,2026-05-19,2026-05-19,No
192.168.7.243,AC-15-A2-D3-40-05,"TP-Link Systems Inc",Unknown,,2026-05-19,2026-05-19,No
192.168.7.226,D0-CB-DD-93-B7-54,"eero inc.",Unknown,,2026-05-19,2026-05-19,No
192.168.7.220,E8-48-B8-4D-D0-88,"TP-Link Systems Inc",Unknown,,2026-05-19,2026-05-19,No
192.168.7.219,D0-CB-DD-FE-CB-14,"eero inc.",Unknown,,2026-05-19,2026-05-19,No
192.168.7.201,9C-A2-F4-54-A4-B0,"TP-Link Systems Inc",Unknown,,2026-05-18,2026-05-19,No
192.168.7.130,98-17-3C-1D-6D-FA,"Private",Unknown,,2026-05-19,2026-05-19,No
192.168.7.42,64-49-7D-D4-50-26,"Intel Corporate",Unknown,,2026-05-18,2026-05-19,No
192.168.7.48,18-48-BE-D9-29-26,"Amazon Technologies Inc.",Unknown,,2026-05-18,2026-05-19,No
192.168.7.46,D0-CB-DD-FF-19-54,"eero inc.",Unknown,,2026-05-18,2026-05-19,No
192.168.7.40,D0-CB-DD-93-77-D4,"eero inc.",Unknown,,2026-05-18,2026-05-19,No
192.168.7.77,38-8C-50-D3-DF-E8,"LG Electronics",Unknown,,2026-05-18,2026-05-19,No
192.168.7.242,50-3D-D1-2C-41-7B,"TP-Link Systems Inc.",Unknown,,2026-05-19,2026-05-19,No